year,tourney,round,opponent,avg speed,1st: avg,1st: stdev,1st: t avg,1st: wide avg,1st: max,1st: min,2nd: avg,2nd: stdev,2nd: t avg,2nd: wide avg,2nd: max,2nd: min,surface_clay,surface_grass,surface_hard,result_W
2024,US Open,R128,Monfils,94.9,100.4,4.8,103.5,97.4,114.0,92.0,84.8,4.8,87.6,80.3,95.0,76.0,False,False,True,False
2023,US Open,R128,Rinderknech,94.2,100.2,4.8,103.8,97.3,114.0,90.0,82.6,3.7,79.3,84.1086956521739,89.0,75.0,False,False,True,False
2023,Wimbledon,R64,Sinner,97.2,102.7,5.1,107.6,99.5,115.0,92.0,82.2,3.6,84.5,84.1086956521739,88.0,73.0,False,True,False,False
2022,US Open,R32,Tiafoe,96.6,101.1,5.9,103.6,98.9,115.0,88.0,85.3,5.6,81.5,83.0,96.0,72.0,False,False,True,False
2022,US Open,R64,Popyrin,94.9,98.8,5.2,102.6,97.1,111.0,87.0,85.8,5.0,80.5,82.7,94.0,72.0,False,False,True,True
2022,US Open,R128,Sock,93.2,98.4,7.1,100.2,96.6,112.0,73.0,82.0,3.7,80.0,85.0,89.0,76.0,False,False,True,True
2022,Wimbledon,R64,Broady,97.0,102.7,5.0,105.5,101.0,114.0,91.0,86.8,4.0,88.0,88.0,95.0,79.0,False,True,False,False
2022,Wimbledon,R128,Kozlov,95.6,98.8,7.7,100.3,98.8,119.0,78.0,85.6,4.7,87.7,88.5,96.0,75.0,False,True,False,True
2021,US Open,R16,Van,98.9,104.3,4.7,106.9,102.4,116.0,92.0,86.3,5.0,84.0,89.5,106.0,78.0,False,False,True,False
2021,US Open,R32,Molcan,98.0,105.8,5.2,107.3,102.9,114.0,85.0,86.1,5.1,91.5,84.1086956521739,96.0,74.0,False,False,True,True
2021,US Open,R64,Anderson,99.7,103.9,3.9,107.3,101.6,114.0,96.0,87.0,4.2,87.5,84.1086956521739,97.0,80.0,False,False,True,True
2021,US Open,R128,Berankis,98.8,103.7,6.6,107.7,100.3,112.0,61.0,87.3,4.8,87.1,84.1086956521739,96.0,78.0,False,False,True,True
2021,Wimbledon,R32,Fucsovics,98.5,104.9,4.6,108.3,102.2,116.0,94.0,87.3,4.6,87.5,87.8,99.0,75.0,False,True,False,False
2021,Wimbledon,R64,Broady,97.5,103.6,5.4,107.1,101.2,114.0,89.0,87.2,4.6,86.8,94.5,95.0,77.0,False,True,False,True
2021,Wimbledon,R128,Paire,96.9,102.8,4.2,103.6,100.6,111.0,93.0,86.8,4.4,87.0,84.1086956521739,94.0,78.0,False,True,False,True
2020,US Open,R128,Norrie,96.1,100.8,6.2,103.3,99.2,114.0,75.0,84.1,4.8,84.7,83.3,93.0,67.0,False,False,True,False
2019,US Open,QF,Nadal,95.2,102.6,6.9,106.9,101.1,119.0,84.0,83.2,5.0,86.4,84.0,97.0,75.0,False,False,True,False
2019,US Open,R16,Zverev,92.3,100.6,6.8,105.0,96.1,116.0,81.0,78.9,3.2,79.7,79.8,86.0,73.0,False,False,True,True
2019,US Open,R32,Sandgren,93.7,100.5,7.4,104.0,98.4,112.0,75.0,80.3,5.3,81.3,83.7,91.0,71.0,False,False,True,True
2019,Wimbledon,R32,Berrettini,99.3,105.3,4.2,108.2,103.5,117.0,95.0,86.9,4.8,86.3,88.7,99.0,76.0,False,True,False,False
2019,Wimbledon,R64,Koepfer,95.5,101.2,5.8,107.6,99.5,116.0,89.0,81.4,4.2,79.3,87.0,89.0,73.0,False,True,False,True
2019,Roland Garros,R64,Mayer,92.9,98.0,6.9,104.9,99.38333333333334,115.0,84.0,81.4,5.9,84.25666666666666,84.1086956521739,93.0,71.0,True,False,False,False
2019,Roland Garros,R128,Fucsovics,94.4,98.7,7.9,104.9,99.38333333333334,115.0,70.0,82.1,5.5,84.25666666666666,84.1086956521739,93.0,73.0,True,False,False,True
2018,US Open,R32,Nishikori,93.4,99.5,6.4,101.0,98.2,118.0,85.0,83.2,6.2,84.0,81.8,99.0,68.0,False,False,True,False
2018,US Open,R64,Munar,94.4,100.0,6.7,103.4,96.0,114.0,84.0,80.2,4.9,81.4,79.8,91.0,72.0,False,False,True,True
2018,US Open,R128,Delbonis,93.4,103.7,5.9,106.6,100.3,121.0,92.0,80.9,8.4,82.5,84.1086956521739,126.0,66.0,False,False,True,True
2017,US Open,QF,Carreno,96.6,103.4,5.0,106.3,101.0,114.0,93.0,83.8,4.9,86.4,88.7,95.0,73.0,False,False,True,False
2017,US Open,R16,Pouille,92.1,99.3,5.1,101.3,95.8,114.0,86.0,78.9,6.4,81.7,78.5,94.0,66.0,False,False,True,True
2017,US Open,R32,Cilic,92.2,98.8,5.0,101.3,95.3,110.0,84.0,75.2,7.0,73.8,77.0,89.0,62.0,False,False,True,True
2017,Wimbledon,R128,Dimitrov,96.6,102.9,5.2,106.4,100.6,113.0,82.0,85.0,4.7,90.3,81.8,95.0,77.0,False,True,False,False
2017,Roland Garros,R32,Djokovic,96.3,102.8,7.0,106.1,100.1,117.0,78.0,85.8,5.4,87.3,80.3,97.0,74.0,True,False,False,False
2016,US Open,R128,del,93.1,101.8,6.4,104.3,98.6,115.0,80.0,80.4,6.4,82.1,80.8,95.0,63.0,False,False,True,False
2016,Australian Open,R128,Millman,94.1,104.0,6.9,104.9,99.38333333333334,116.0,86.0,83.1,6.4,84.25666666666666,84.1086956521739,99.0,70.0,False,False,True,False
2015,US Open,R64,Nadal,94.0,100.3,6.2,104.9,99.38333333333334,117.0,90.0,84.2,4.5,84.25666666666666,84.1086956521739,95.0,74.0,False,False,True,False
2015,Wimbledon,R128,Kyrgios,99.2,105.8,5.5,104.9,99.38333333333334,116.0,94.0,88.0,3.8,84.25666666666666,84.1086956521739,100.0,82.0,False,True,False,False
2015,Roland Garros,R64,Monfils,98.7,104.7,7.4,104.9,99.38333333333334,120.0,87.0,86.5,5.4,84.25666666666666,84.1086956521739,100.0,77.0,True,False,False,False
2014,US Open,R128,Djokovic,90.3,97.5,7.2,104.9,99.38333333333334,117.0,74.0,82.2,5.0,84.25666666666666,84.1086956521739,90.0,69.0,False,False,True,False
2014,Roland Garros,R64,Federer,92.0,98.6,10.5,104.9,99.38333333333334,119.0,77.0,84.1,7.5,84.25666666666666,84.1086956521739,99.0,67.0,True,False,False,False
